"Auguria product matrix","Auguria product matrix"
"General","General"
"Display matrix on the configurable product page view","Display matrix on the configurable product page view"
"Display for these groups only","Display for these groups only"
"Template to use","Template to use"
"Use Config Settings","Use Config Settings" 
"Product matrix","Product matrix"
"Product matrix configuration","Product matrix configuration"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Total quantity","Total quantity"
"Total","Total"
"Add to Cart","Add to Cart"
"Product name","Product name"
"Reference","Reference"
"reference :","reference :"
"Unit price","Unit price"
